"survey_year","site","island","site_status","den_MACPYRAD","den_MACSTIPES","den_PCLA","bm_PCLA","den_CPUN","bm_CPUN"
2021,"ANACAPA_EAST_FISH_CAMP_CEN","ANA","reference",16,64.75,5.375,1.0069349522866,1.625,0.106966761419695
2021,"ANACAPA_EAST_FISH_CAMP_E","ANA","reference",9.75,36.5,1.5,0.326451444819158,3.75,0.0283769686409671
2021,"ANACAPA_EAST_FISH_CAMP_W","ANA","reference",17.75,121,5.625,0.876257335436916,0.25,0.00969949079374613
2015,"ANACAPA_EAST_ISLE_CEN","ANA","mpa",26.75,101.75,4.875,1.34246196973289,43.375,0.511496683224511
2016,"ANACAPA_EAST_ISLE_CEN","ANA","mpa",18.5,91.75,8.875,2.81335343190109,66.625,1.23746271175673
2017,"ANACAPA_EAST_ISLE_CEN","ANA","mpa",73,239.25,5,0.58457897791506,8.75,0.135188365173164
2018,"ANACAPA_EAST_ISLE_CEN","ANA","mpa",21.5,188.25,2.5,0.358575561941922,3.375,0.0892461946683331
2019,"ANACAPA_EAST_ISLE_CEN","ANA","mpa",87.5,234.25,6.375,1.0156355980341,12.875,0.462550241808368
2020,"ANACAPA_EAST_ISLE_CEN","ANA","mpa",33.75,394.25,3.25,0.764775664168698,5.125,0.112391105932512
2021,"ANACAPA_EAST_ISLE_CEN","ANA","mpa",218.75,711,2.625,0.719330025135856,7.25,0.278000466414808
2015,"ANACAPA_EAST_ISLE_E","ANA","mpa",54,237.25,6.375,1.40472409692221,80.5,0.464435678122328
2016,"ANACAPA_EAST_ISLE_E","ANA","mpa",17.25,66.75,14.875,4.01183044323752,36,0.31028583450011
2017,"ANACAPA_EAST_ISLE_E","ANA","mpa",68,204.5,10.875,2.64643228060295,44,0.749702877910313
2018,"ANACAPA_EAST_ISLE_E","ANA","mpa",19,166.5,4.5,1.00728821971732,14.625,0.268648716060778
2019,"ANACAPA_EAST_ISLE_E","ANA","mpa",45.25,161.5,3.25,0.463289699780211,7.25,0.165228274875006
